Site name,Address,Ward,Coordinates
Andromeda Transcultural Health,"1400 Decatur Street NW, Washington, DC 20011",4,"(38.9480821, -77.0331479)"
Bread for the City,"1525 Seventh Street NW, Washington, DC 20001",2,"(38.909960, -77.021450)"
Bread for the City,"1640 Good Hope Road SE, Washington, DC 20020",7,"(38.8662003, -76.9810545)"
Carl Vogel Center,"1012 14th Street NW Suite 700,
Washington, DC 20005",2,"(38.903290, -77.032130)"
"Children's National Medical Center (CNMC) - Adams Morgan Clinic at Dorchester
House","1630 Euclid Street NW, Washington, DC 20009",1,"(38.9230244, -77.0379906)"
CNMC - Adolescent Health Center- CHC,"111 Michigan Avenue NW, Washington, DC 20010",5,"(38.9271935, -77.01438678919314)"
"CNMC  -
Children's Health Center Good Hope Road","2501 Good Hope Road SE, Washington, DC 20020",8,"(38.86064875, -76.96932627798171)"
"CNMC - Children's Health Center at Martin Luther
King Jr Ave","3029 Martin Luther King Jr Ave. SE, Washington, DC 20032",8,"(38.8441848, -76.9986514)"
CNMC - Children's Health Center at Shaw,"2220 11th Street NW, Washington, DC 20001",1,"(38.919911, -77.02731698016393)"
CNMC - THE ARC,1901 Mississippi Avenue SE,8,"(38.8435571, -76.9753219)"
Community of Hope - Marie Reed,"2250 Champlain Street NW, Washington, DC 20009",1,"(38.9193352, -77.0404742)"
Community of Hope - Family Health and Birth Center,"801 17th Street NE, Washington, DC 20002",5,"(38.9007443, -76.97814154193624)"
Family and Medical Counseling Services,"2041 MLK Jr. Ave SE, Suite 300
Washington, DC  20020",8,"(38.865970, -76.989780)"
Howard Family Health Center,"2139 Georgia Avenue NW Washington, DC 20001",2,"(38.918508001011865, -77.02178987272869)"
La Clinica Del Pueblo,"1470 Irving Street
NW, Washington, DC 20010",1,"(38.9284979, -77.0353929)"
Mary's Center - Ontario Rd,"2333 Ontario Road NW, Washington, DC 20009",1,"(38.92096955, -77.03978192187567)"
Mary's Center - Georgia Ave,"3912 Georgia Ave NW Washington, DC 20011",1,"(38.93888918686116, -77.02484774634421)"
Planned Parenthood - Marjorie Schumacher Center,"1108 16th Street NW, Washington, DC 20036",2,"(38.904, -77.037)"
Planned Parenthood - Ophelia Egypt Center,"3937A Minnesota Avenue NE, Washington, DC 20019",7,"(38.897933, -76.946767)"
Providence Hospital - Center for Life,"1150 Varnum Street NE, Washington, DC 20017",5,"(38.9445417, -76.99340684192414)"
Providence Hospital - Perry Family Health Center,"128 M Street NW, Suite 050
Washington, DC 20001",6,"(38.905390, -77.013010)"
SOME (So Others Might Eat) Medical Clinic,"71 'O' Street NW, Washington, DC 20001",5,"(38.9085715, -77.0160532)"
Spanish Catholic Center,"1618 Monroe St NW, Washington, DC 20010",1,"(38.93271405, -77.03739827672516)"
Unity Health Care (UHC) - 801 East,"2700 Martin L. King Jr. Ave SE, Washington, DC 20032",8,"(38.850680, -76.994730)"
UHC - Anacostia,"1500 Galen St. SE Washington, DC 20020",8,"(38.8631449, -76.9837074)"
